,year,gdp-usd,military-expenditure-percent-gdp,urban-population,rural-population,life-expectancy-at-birth-male-years,life-expectancy-at-birth-female-years,life-expectancy-at-birth-total-years,co2-emissions-kt
0,1960,3707055901.0,5.63360329,9926529,34981764,45.105,45.478,45.265,14154.62
1,1961,4054599181.0,5.1817895830000005,10347061,35637831,46.049,46.397,46.195,14656.999
2,1962,4233095590.0,4.732612081,10720126,36399235,46.953,47.278,47.085,16105.464
3,1963,4540529105.0,4.83766543,11112109,37197206,47.815,48.118,47.93600000000001,18514.683
4,1964,5130407728.0,5.026400555,11523791,38028113,48.638000000000005,48.919,48.747,19035.397
5,1965,5884712096.0,7.470649376,11954220,38891001,49.422,49.678000000000004,49.52,19974.148999999998
6,1966,6466610752.0,8.500032362999999,12405301,39785794,50.17100000000001,50.397,50.255,20326.181
7,1967,7403821903.0,6.459710147000001,12876828,40714101,50.885,51.077,50.95399999999999,21572.961
8,1968,8090088555.0,6.088254112,13369248,41673149,51.565,51.721000000000004,51.617,24737.582000000002
9,1969,8632927257.0,6.402335261,13882298,42660136,52.208999999999996,52.331,52.245,23993.181
10,1970,10027088849.0,6.3352115929999995,14416384,43674375,52.813,52.91,52.836999999999996,24337.879
11,1971,10602058190.0,6.974072382,14971922,44715218,53.37,53.46,53.388999999999996,23076.431
12,1972,9309109764.0,7.679714324,15551089,45787172,53.876999999999995,53.982,53.901,18929.054
13,1973,6324884129.0,7.138157414,16187999,46871482,54.333999999999996,54.481,54.376000000000005,20036.488
14,1974,8773030424.0,6.943916637,16869660,48001173,54.744,54.958,54.815,21418.947
15,1975,11340000242.0,6.80036684,17592601,49195300,55.114,55.416000000000004,55.224,23219.444
16,1976,13338484980.0,6.246450174,18360055,50453165,55.449,55.856,55.606,22838.076
17,1977,15126059646.0,6.039813937000001,19171800,51774431,55.75899999999999,56.278,55.966,24389.217
18,1978,17820100626.0,5.790476207,20031990,53162947,56.052,56.685,56.31100000000001,26138.376
19,1979,19707979303.0,5.996648177999999,20943583,54624099,56.336000000000006,57.078,56.645,28250.568
20,1980,23689696768.0,6.033394785,21910605,56157539,56.617,57.46,56.972,32067.915
21,1981,28100605515.0,6.18269146,22901793,57795152,56.896,57.833,57.295,34400.127
22,1982,30725972787.0,6.771368102,23881372,59564491,57.172,58.198,57.613,37385.065
